"PDF File Name",Postcode,Retailer,"Offer Name","Offer No.","Customer type","Fuel type",Distributor(s),"Tariff type","Offer type","Release Date","Contract term","Contract expiry details","Bill frequency","All usage Price (exc. GST)","Daily supply charge Price (exc. GST)","First usage Price (exc. GST)","Second usage Price (exc. GST)","Third Usage Price (exc. GST)","Fourth Uage Price (exc. GST)","Fifth Usage Price (exc. GST)","Balance Usage Price",Peak,Shoulder,"Off Peak","Peak - Summer","Peak - Winter","Peak - First usage Price","Peak - Second Usage Price","Peak - Third usage Price","Peak - Fourth Usage Price","Peak - Fifth Usage Price","Peak - Balance Price","Summer Monthly Demand","Winter Monthly Demand","Additional Monthly Demand","First Step","Second Step","Third Step","Fourth Step","Fifth Step","Off peak - Controlled load 1 All controlled load 1 ALL USAGE Price (exc. GST)","Off peak - Controlled load 1 All controlled load 1 Daily Supply Charge Price (exc. GST)","Off peak - Controlled load 2 All controlled load 1 ALL USAGE Price (exc. GST)","Off peak - Controlled load 2 All controlled load 1 Daily Supply Charge Price (exc. GST)",Frequency,"Conditional Discount","Discount %","Discount applicable to","Guaranteed discounts","Discount %","Discount applicability","Are these prices fixed?","Eligibility Criteria","Exit fee 1 year","Exit fee 2 year","Cheque Dishonour payment fee","Contribution Fee","Direct debit dishonour payment fee","Payment processing fee","Disconnection fee","Reconnection fee","Contribution Fee","Other fee","Late payment fee","Credit card payment processing fee","Other fee","Voluntary FiT","GreenPower option",Incentives
electricity-offer-101636-fact-sheet-pdf-5000.pdf,5000,"Diamond Energy","Diamond Power",DIA101636MR,Residential,Electricity,"SA Power Networks","Single rate with controlled load","Market offer",10-Sep-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",,71.80,24.80,25.50,29.95,,,29.95,,,,,,,,,,,,,,,100,233,500,,,12.75,0.00,,,"per month","Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply. This offer is for residential customers located within the SAPower Networks distribution area with the appropriate network tariff(s) and metering installationand configuration.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,1.1,
electricity-offer-101637-fact-sheet-pdf-5000.pdf,5000,"Diamond Energy","Diamond Solar",DIA101637MR,Residential,Electricity,"SA Power Networks","Single rate","Market offer",10-Sep-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",,71.80,24.80,25.50,29.95,,,29.95,,,,,,,,,,,,,,,100,233,500,,,,,,,"per month","Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply. This offer is for residential customers located within the SAPower Networks distribution area with the appropriate network tariff(s) and metering installationand configuration. For solar feed-in eligibility please visit http://www.sa.gov.au/ or contact us on1300 838 009.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,1.1,
electricity-offer-101638-fact-sheet-pdf-5000.pdf,5000,"Diamond Energy","Diamond Solar",DIA101638MR,Residential,Electricity,"SA Power Networks","Single rate with controlled load","Market offer",10-Sep-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",,71.80,24.80,25.50,29.95,,,29.95,,,,,,,,,,,,,,,100,233,500,,,12.75,0.00,,,"per month","Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply. This offer is for residential customers located within the SAPower Networks distribution area with the appropriate network tariff(s) and metering installationand configuration. For solar feed-in eligibility please visit http://www.sa.gov.au/ or contact us on1300 838 009.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,1,
electricity-offer-101726-fact-sheet-pdf-2340.pdf,2340,"Diamond Energy","DE Residential Time of Use",DIA101726SR,Residential,Electricity,"Essential Energy","Time of use","Standing offer",11-Sep-2015,"No contract term","No fixed term. This agreement continues on a rolling monthly or quarterly basis as per the billfrequency.","Every 3 months",25.60,129.90,,,,,,,25.60,25.60,13.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevant distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,,
electricity-offer-101727-fact-sheet-pdf-2000.pdf,2000,"Diamond Energy","DE Residential Time of Use",DIA101727SR,Residential,Electricity,Ausgrid,"Time of use","Standing offer",11-Sep-2015,"No contract term","No fixed term. This agreement continues on a rolling monthly or quarterly basis as per the billfrequency.","Every 3 months",41.50,80.00,,,,,,,41.50,16.80,9.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevant distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,,
electricity-offer-101728-fact-sheet-pdf-2000.pdf,2000,"Diamond Energy","DE Residential Time of Use",DIA101728SR,Residential,Electricity,Ausgrid,"Time of use with controlled load","Standing offer",11-Sep-2015,"No contract term","No fixed term. This agreement continues on a rolling monthly or quarterly basis as per the billfrequency.","Every 3 months",41.50,80.00,,,,,,,41.50,16.80,9.80,,,,,,,,,,,,,,,,,8.45,1.90,11.50,10.00,,,,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevant distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,,
electricity-offer-101730-fact-sheet-pdf-2576.pdf,2576,"Diamond Energy","DE Residential Time of Use",DIA101730SR,Residential,Electricity,Endeavour,"Time of use with controlled load","Standing offer",11-Sep-2015,"No contract term","No fixed term. This agreement continues on a rolling monthly or quarterly basis as per the billfrequency.","Every 3 months",29.85,92.00,,,,,,,29.85,23.00,11.15,,,,,,,,,,,,,,,,,7.80,5.00,11.50,5.00,,,,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevant distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,,
electricity-offer-101734-fact-sheet-pdf-2340.pdf,2340,"Diamond Energy","Diamond Power",DIA101734MR,Residential,Electricity,"Essential Energy","Time of use","Market offer",10-Sep-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",25.60,129.90,,,,,,,25.60,25.60,13.50,,,,,,,,,,,,,,,,,,,,,,"Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevant distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,1.1,
electricity-offer-101740-fact-sheet-pdf-2340.pdf,2340,"Diamond Energy","Diamond Solar",DIA101740MR,Residential,Electricity,"Essential Energy","Time of use","Market offer",10-Sep-2015,"2 years","If you have not entered into a new agreement with us, then we will continue to sell electricity to youunder this agreement on the same Terms and Conditions at that time.","Every 3 months",25.60,129.90,,,,,,,25.60,25.60,13.50,,,,,,,,,,,,,,,,,,,,,,"Direct Debit Discount",3%,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevent distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",$22.00,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,1.1,
electricity-offer-101742-fact-sheet-pdf-2576.pdf,2576,"Diamond Energy","DE Residential Time of Use",DIA101742SR,Residential,Electricity,Endeavour,"Time of use","Standing offer",11-Sep-2015,"No contract term","No fixed term. This agreement continues on a rolling monthly or quarterly basis as per the billfrequency.","Every 3 months",29.85,92.00,,,,,,,29.85,23.00,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"Eligibility and availability criteria apply, including that this offer is only for residential customerswho are located within the relevant distribution area, with the appropriate network tariff(s) andmetering installation and configuration. For full terms and conditions visit our website or contact uson 1300 838 009.",,,$20.00,,10.00,,,,,,$15.00,"Percentage of bill - 0.60%",,,,
